@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
4747,69621,390636
254,6014,19066
6203,41140,36893
6678,40823,381077
4937,22153,110859
6646,46836,458950
1710,44937,49415
9399,87025,623476
2754,41456,250689
9842,43671,180202
7817,81013,269858
3450,83861,1220907
1836,9178,7856
5602,26583,2274238
8101,52849,29308
7500,31013,578874
3545,36709,710641
3260,21203,124310
3545,10760,1543003
2754,45887,436627
7912,50000,135020
8956,25634,73528
8861,34178,93581
8987,38608,84532
6772,10127,663175
1172,56330,515730
9272,55380,542275
3229,78481,461293
159,66772,304011
9873,74367,276284
5538,17722,449134
539,82279,77582
2627,22153,150903
1203,96835,246710
8861,70886,550202
6646,85760,810023
4652,71519,53525
4020,5381,2021908
9937,22153,116334
5570,98418,383084
8703,5697,400241
2343,26899,70503
64,79114,15276
3260,93987,861802
7658,50000,2843559
5665,43988,560525
2248,38925,238231
4146,317,134161
1203,25001,182144
9494,12659,613978
3766,5381,30694
1994,26267,1569249
9304,38608,540697
1,21203,100
2975,21520,2321834
1488,62026,291823
5475,43039,1747238
9019,12343,46494
7880,58228,113865
6013,73734,360243
5697,21203,2525345
128,78165,934737
8323,38292,61835
1235,7596,497093
7753,17722,178598
3798,34178,263363
2153,96835,615929
4526,41140,1204426
2975,65190,84371
9937,43039,205331
3577,41140,26312
6962,31330,184857
3798,88291,220205
3640,99367,133831
2564,28165,100409
3070,95886,177887
7595,72152,242928
2691,75950,740256
317,63608,968709
4969,13292,289176
3703,42406,1325159
2058,92405,94478
1203,67722,428840
476,49684,88131
8608,24368,33381
7690,87658,642369
1710,7912,422193
6899,25001,334973
760,14874,281970
3007,50000,114090
7374,53481,501415
1773,77532,5340
3039,65190,397895
8101,32912,155553
6614,60127,213772
5349,23418,539476
8323,25634,222179
3608,13925,159501
1235,24051,27858
8228,29748,69179
919,47785,256559
2817,44937,333892
9304,17722,33717
5950,11393,1487847
3387,62342,1241461
9652,83228,137741
5823,3482,70794
6045,31963,117715
6266,17406,105847
6203,79431,861503
9525,83861,613913
3861,97468,1967050
7057,55380,1142481
5855,75633,142872
9177,48735,252599
571,90823,94869
9842,32912,53743
2311,61709,10851
3165,5697,1209950
7880,69937,296485
9842,16457,196697
5633,72785,315509
1045,48102,46041
1520,87025,434850
7690,72469,1039335
919,32279,13614
9652,25950,1354149
5159,83544,247756
8133,24051,509485
6203,95253,184669
8101,35760,84478
6519,31963,34539
8481,42722,665914
1994,75633,471719
5285,98734,2361414
7658,95253,504967
4842,76583,178928
8070,57595,607676
4558,40190,89067
824,62342,256245
8639,68988,351719
5190,24684,94531
8007,99684,667763
6519,69304,531416
1805,66140,14730
4906,41456,71733
8481,7596,663934
9304,78481,272730
729,18355,528039
3039,8229,36611
1520,1267,49074
9146,6647,56685
4431,57595,1347707
3039,69937,2040291
7184,28165,74435
9082,17722,816374
1140,85443,304727
4494,23735,122017
8544,92722,197991
6899,87975,561167
6931,41456,74569
824,2849,344560
6329,59494,106294
6013,49051,149898
4842,34178,40483
855,76583,455232
9019,95253,778419
9779,37026,242669
4621,12026,52190
2343,29431,605288
9937,6330,135320
96,86076,1048343
4431,1,15985
1393,49684,317170
9241,45570,68063
9177,32596,117603
4747,48735,1992707
2564,19938,389155
8956,50317,461489
6488,68988,513906
5032,8229,2295090
6772,31013,434795
2437,86393,167288
9114,19621,787198
5633,10127,13471
2026,19305,354118
7026,64241,213810
159,87658,131906
8386,83544,571316
476,85443,1084720
1773,91772,949551
5823,20570,69094
96,58228,2038178
159,83861,270277
4526,66140,199687
3197,12026,93685
5602,56330,76983
6424,10444,2041373
2121,54114,306622
1014,33545,39088
6583,70253,400939
9304,40823,932610
5222,36709,637116
1615,16457,181983
1646,96835,1382971
1267,25634,90249
7627,95253,194031
3482,95253,87067
2786,64874,286137
9684,38292,1031886
9968,76899,1734
7722,24684,42138
8924,46520,29228
6741,70570,281602
9051,38608,176143
6235,15824,158038
7342,79114,172858
1551,50633,104105
5728,16773,323175
222,86709,782678
8608,13925,121786
4336,27532,1292894
887,26899,348783
6235,18039,667340
9905,59811,335506
6329,76899,661538
2184,73102,484373
6583,83228,99319
2058,50317,89096
4937,23735,147154
8893,5697,3052627
1330,19305,113980
3387,21520,4809
1488,95253,40136
6108,75000,1414997
3513,64557,530943
5823,67405,324680
2944,64874,230272
5538,93038,41975
349,60127,338728
3513,87658,194395
5349,8862,88111
5950,29115,270897
9114,76583,249608
5443,12976,3702757
6076,10444,76148
8038,48418,345427
9241,90190,4181
5633,64241,6571
5728,67722,574434
7279,54747,244838
6804,29748,4806
3292,69304,154622
5507,29748,243704
1963,65190,1387081
6361,67722,378272
6772,64874,27531
5697,4748,287533
9715,29748,189946
8798,32912,254839
6424,36709,1377302
476,14558,951661
1140,87658,2089180
4874,33229,41146
286,59494,317558
2912,9178,589929
7469,61393,47645
7152,78165,327045
5665,1583,2453510
6456,37659,235484
8987,75633,213672
9684,2533,263772
5918,53165,799620
1615,98734,707102
3323,45254,14012
8323,21520,240246
5570,27216,156874
7912,12343,225160
4241,39874,165154
1014,22786,367117
8766,31013,34729
2944,18039,1129496
5918,7279,202522
6045,6014,230755
9430,60127,209586
602,69621,423776
7152,95570,1266367
6836,16140,64568
5538,64241,17996
6962,12026,328265
4209,37342,68719
3672,99684,304487
7310,76899,145149
1,32596,85
5823,94620,316870
9241,17722,69342
2532,77215,196261
8228,52216,221235
9336,25001,358111
6519,69937,98118
7532,87975,107793
8418,38292,180064
4146,36077,345915
1805,31013,192221
6171,53165,626266
2975,24051,862172
9209,93354,540034
4273,78798,131501
2880,99367,1387181
9462,60443,438832
6772,99367,260258
8798,13608,125585
8038,90506,101942
5254,56646,127945
1077,72469,610167
5380,46836,659656
2343,74684,183216
9779,87342,944218
8924,18988,229463
1045,78165,205411
444,77848,136325
7817,47152,27810
6266,38608,30061
6235,26583,168954
760,90190,487632
507,89557,3189140
128,14874,17682
2817,67089,93071
697,23418,412015
3893,48418,613591
4874,68038,13934
4747,18355,135816
5095,51899,35848
6614,79114,230468
5222,93987,315654
7848,30380,268506
5095,5381,112958
7184,12976,251956
571,48735,46576
8291,52532,796098
7785,67405,102227
1140,88291,836547
5095,99684,108326
222,23418,104134
8038,94937,40007
8038,11710,48110
9399,72152,219707
1298,78798,202006
6424,93354,129732
