@relation HistogramEquilization

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
6436,2954,2115148063
1444,3189,416534704
1828,2251,369378897
2212,2329,492198954
2532,1899,467810618
1444,2211,294807015
1508,1586,213394080
3044,3580,1107945647
5540,2720,1640046610
4580,3736,1864060241
3876,647,224538870
4388,3228,1464888339
5668,3228,1989042383
4324,2055,903363545
612,1820,84468821
740,2876,180609384
4964,2368,1189947023
6308,2954,2109532834
5732,960,488632329
932,256,13937918
548,2133,94571653
356,3775,96361898
100,3619,25183538
4580,1469,644051222
1764,2837,535341070
676,2133,115549138
3748,1860,688967176
5220,178,63005218
100,882,4516805
2020,2290,435243976
676,491,21993082
740,491,26983434
5220,1508,786927462
2468,3267,787446010
2724,2602,721734642
2980,2759,845406119
6052,3815,2783075001
4452,843,326956341
4580,3775,1996750623
6436,3971,2911762144
5604,2563,1514348944
1316,217,19946053
5796,2485,1484380817
4644,1703,758176943
3108,256,52998737
6308,3502,2397077350
4516,3697,1853884760
3428,374,107132703
5668,3150,2008879578
2852,1351,337022767
6244,3932,2773660451
2596,452,86477647
2276,2524,533181863
4132,3463,1509736433
3556,2133,786618008
5604,3893,2539453586
5348,2251,1296720554
228,139,1756931
3364,2329,804564710
5540,1078,562295787
932,3815,330202668
4708,2290,1109933256
5028,3189,1787055838
3876,2759,1106347374
3172,2016,586012117
1508,569,66923359
4580,608,237986474
4772,1273,558229773
1636,1586,230891258
5156,3541,2027165925
1252,2915,322266852
2340,3815,914822615
3684,256,62058198
228,3971,62630344
2916,3971,1186487787
2852,1742,455866495
740,3775,244895970
5540,2485,1422494368
868,256,15148579
1572,100,8721695
4004,491,151532017
6436,2837,1995208539
4324,2211,950833428
5604,2915,1757811064
5156,3736,2156610978
6372,1586,1035660734
5604,1781,1057611456
5092,2563,1377860886
6180,1312,774738074
2468,2642,657239683
5412,843,379828886
100,3384,21166594
2404,3541,836229498
3684,1977,714105190
3812,1860,674896873
4260,2211,979597671
6180,3697,2527869197
5156,3033,1673047350
4900,217,72884140
6116,3775,2594526011
1700,2563,385116522
164,2915,32515961
2340,374,69593837
2148,1586,298233838
4324,569,194053793
4900,687,277139697
6180,1742,1091465932
1316,3736,482172455
1764,1469,249937140
5668,1195,677621001
4516,3267,1605434234
3300,2837,972482953
4836,3775,2110636171
1252,1899,208165011
6436,2251,1490378119
5668,2837,1706281011
2084,3033,600744683
740,1899,117230598
4580,1586,693019624
1572,2642,378877989
6052,2720,1754556679
1060,3580,358410767
2596,3541,905745381
4452,2915,1401003450
484,3502,139442025
5028,2172,1128722929
5860,1117,603045067
1444,1547,186827201
3300,960,275416892
1636,1860,259101636
4708,491,183965961
228,804,11128409
6244,3775,2647793904
4068,2602,1076108764
2276,3424,758005502
5348,256,107513791
2148,3502,722656481
5988,2016,1230719571
6116,256,117660179
4708,2133,1028829635
1764,1273,175241572
228,3815,62827996
612,2993,150219688
2852,3424,1033429252
4324,1547,692436416
1060,2681,247498659
6372,3619,2629326314
5988,921,475272461
5412,3893,2349352488
1060,1390,116488720
1188,2524,269151252
6116,2954,2019957645
4324,491,163099231
1636,217,25414794
1700,3228,511554924
3492,2446,839062380
4004,2602,1064376422
1124,2172,217192818
4964,843,371858005
2980,2016,547332623
996,3502,313291198
1508,100,11164206
6436,1469,909630524
4708,647,248041164
4324,608,225063867
3620,2446,887170384
5860,1742,1001309008
1892,100,10690804
4964,921,451149829
4708,1195,479790731
2532,178,31222283
2084,3736,833705613
1572,3893,590875484
4196,2720,1186946755
5476,2602,1575516667
5604,1586,865728482
5348,2759,1636742226
2212,765,129535055
228,3893,64366080
5860,3189,2077532432
4900,1351,663231360
100,491,3013090
3364,3502,1260412240
4580,1429,613659979
4452,765,310136884
5284,2993,1710319080
6180,2876,1922934570
164,3619,43147325
2596,2211,544617947
2532,1820,433552670
3172,3189,1038509478
2148,2681,544306442
1380,2602,335353612
3428,178,43082906
4900,921,399738619
1444,3502,454991933
5924,2954,1916114443
3812,1820,643510092
5028,647,266830599
5604,3619,2217768160
6436,2133,1408653341
2916,2563,756398805
5028,2524,1333439704
740,2251,135248702
4132,3228,1384981347
6116,491,237296815
804,843,51495452
3492,335,90063548
3172,1899,562502319
3428,1703,553597148
5156,2915,1625920183
5220,217,84222420
4260,960,356996844
5796,804,417230355
3300,3697,1214301680
100,2329,15126821
6436,100,45530318
3748,1547,552160196
1188,2172,224680850
2468,2407,547867796
2660,1117,284284016
3812,178,42758164
3620,3697,1422797255
5348,2642,1465262452
676,413,20367456
1636,3189,468659114
2404,647,123400747
3620,960,285096125
5348,3619,2146475542
4836,3189,1690959280
5860,3854,2551971520
3684,1351,452188240
5028,1117,504065766
100,3150,18925140
2852,647,148081369
3364,2993,1041135381
5348,1742,930345820
4452,1117,490200452
5028,491,193449660
5028,3072,1694628075
5348,2876,1673843418
3876,3736,1694511103
100,2446,22078314
5796,3697,2722798968
2852,2446,925934489
3108,687,181022867
2340,569,120796530
2468,1860,512761018
3428,3033,1252337155
2148,1234,270130788
6116,687,439938067
2916,3072,961858964
5604,3815,3291961308
5796,687,427144388
164,608,5732954
3940,2720,1068747695
5540,178,67648368
164,530,5308049
484,3932,163588517
804,2837,211104557
1764,3736,661937278
2532,2602,879031334
1508,1390,189104460
5220,1234,581496014
2020,1625,338649710
5156,3619,2080973977
2788,1977,535222888
5284,2524,1469209493
6244,726,384334788
100,1469,9004010
228,296,3541234
3108,1860,542651180
2724,1977,490202946
5604,3072,1951232108
356,3345,91552950
3556,2172,748695647
2404,296,67052611
3748,1273,460929384
4132,921,342009488
5668,1038,526054328
1252,1273,127509253
4772,1977,969846783
1572,2798,398936687
6244,1351,764067729
2532,1273,267147831
2468,843,171639896
5668,413,188464484
4004,3033,1238886178
3556,804,246319385
4132,100,28770546
612,1703,85509477
2980,2211,640312633
4068,1703,656401964
1700,2681,430883621
932,2016,161353122
3492,3150,1124786652
2916,1938,532831610
1316,2133,248463692
2148,217,32717313
100,1820,11357967
4580,3854,2010314861
3620,256,60912257
2212,3854,870207860
5988,3658,2559760075
4516,1586,690310376
4708,804,330240889
2468,1078,223545858
6180,2055,1303068554
2340,1547,316937023
5540,3306,2094681431
1252,2876,354407813
4196,3228,1416156206
4260,2094,887732158
4452,3580,1749769694
5796,2837,1773040214
3684,2798,1105282569
5220,2642,1504939279
6372,296,150523581
420,3424,110604819
5348,1273,611948019
1700,1547,254123096
4580,1312,552631025
356,1586,43964738
5092,2954,1593100627
676,1781,92505115
2660,335,61280326
5220,2251,1192645488
3748,256,71242966
3108,2485,760655753
1380,2133,291965081
3812,726,226850027
5732,2563,1577263018
5412,2407,1355134717
4260,217,64428457
1956,3111,581660456
3812,1977,715646624
4452,3932,2001035049
4964,2133,1108878752
2724,2993,790126540
6436,3619,2602557536
228,2290,37188619
