@relation FilterArray

@attribute ArraySize numeric
@attribute FilterKey numeric
@attribute runtime numeric

@data
97785,14873,915467
36709,95886,395786
10127,15823,94558
96835,1899,868125
82911,15506,786561
91772,39241,928402
34494,98734,319855
69937,47468,642668
76266,80063,685465
25949,633,235003
36709,22152,737482
47152,12025,855495
43987,78165,697297
17722,73418,174908
80063,99051,712921
53165,31329,488906
79747,68354,722580
32278,41456,292047
53797,89557,527231
34810,6962,539894
36709,37025,398805
43354,61709,390642
18671,57278,169087
71835,63608,744376
3165,13608,31712
15506,87025,141166
12342,99367,112566
33544,23418,307361
59177,82595,915554
33228,45886,373078
34177,2532,336327
94304,75316,941107
40190,80380,377205
8228,21203,78950
5696,8228,53461
9177,40190,115589
98101,22468,886101
56962,5380,573718
34810,84494,322717
48101,90506,436392
92089,57278,834584
84810,74684,842128
37025,56013,339374
51582,1266,473158
90823,45886,833673
80696,90823,1874011
71519,68038,671582
87658,22468,885606
79430,71835,905181
96203,77532,994254
44304,83228,637301
77848,83861,893903
13291,50000,198633
45253,99684,464754
67722,77532,725350
39241,79114,396195
79747,69304,821731
29747,55696,317648
40506,60443,466922
60759,85759,683163
77532,72785,932436
77215,52848,779819
74684,5063,760689
66139,85759,648627
66772,8861,683730
91139,44937,1089623
14241,19937,175774
63924,76899,646628
68354,5696,624557
45253,37025,414647
10127,10759,95060
2532,28797,24347
76899,26899,698871
90823,42089,999330
28165,41139,269572
72468,28797,831518
43354,77848,515879
22785,10127,272721
69620,51899,681889
79747,9177,739622
52532,21835,478397
68987,46835,669544
32911,48734,299601
68038,20886,722369
77215,11076,915010
78481,65823,817200
9177,15190,88245
2532,33228,38925
87658,25633,819721
29114,20570,268670
54747,33861,544765
18038,34177,183345
43987,81962,656207
41772,14873,391483
78797,68987,865425
85127,28481,980921
33861,1582,394479
53165,93038,604887
6013,69620,70851
50316,57911,492224
15190,6329,142092
33861,49051,314677
47152,33544,493733
75949,87975,945755
61076,68354,743591
21203,28165,217065
89873,42089,1002279
77848,26582,790597
22468,31962,263589
96519,66139,1013034
25000,70886,316536
46835,20886,430124
67089,82278,674533
59177,31962,671574
4430,74367,50166
42405,89241,416846
33544,60127,303972
82911,89873,828562
4747,39241,48907
87975,28165,790104
22785,38291,207244
23418,28481,213719
80380,36076,738242
91456,96519,946215
94304,27215,942355
63924,44937,622921
40823,28481,393292
62342,29747,555930
90506,85759,836713
65506,95570,617881
20570,29114,187835
12025,4430,110422
25633,80696,232898
73734,8544,727004
40190,8544,438950
42089,73734,392878
56962,633,535909
37342,98418,341311
17089,71203,156460
91456,56962,821780
62342,59810,568890
77215,40823,1672549
71835,23418,1151543
86076,68038,845880
80380,74367,727285
17089,69304,157060
42722,28165,419646
60443,24367,545002
26582,44620,242628
84810,83228,765782
48734,67405,437623
44620,32595,424966
99367,50949,893428
16772,8544,153289
40506,15506,363196
93671,97785,886966
56329,1899,565675
18987,13608,174995
64873,75949,578373
28481,49684,255035
72152,8228,658104
93987,34810,910763
43987,29430,402672
35759,28165,324933
62342,45253,557061
78165,51582,719660
15506,92405,144633
54114,56329,497013
20886,70253,191437
80696,22152,806236
40823,33228,411494
93038,29430,844392
44620,65823,407370
85759,46203,811632
95570,47468,863679
68038,75316,697811
32278,76266,323546
92722,48734,968386
71519,50633,734513
71835,75949,780311
46203,3797,424356
99367,31962,996441
50316,69620,1006589
5696,99051,96044
33228,50949,521660
38608,75633,407874
33861,73101,312475
21835,89241,199268
5696,30380,52740
34810,26899,371863
58544,44937,587622
81962,10443,901167
96835,4114,1095014
11709,71519,162031
3165,89873,40887
74684,4747,758323
71519,6962,784123
88924,63924,815996
7278,36709,67010
47785,44620,428624
23734,45886,216104
48101,26266,438342
19304,1899,175425
35443,92405,321146
11709,5696,108301
86392,69620,1113341
95886,90823,1200743
9494,88608,125475
83228,18354,795923
87975,18671,868805
68671,81962,627398
94304,79430,950239
72468,26582,739988
69937,9177,708648
22468,86076,232261
37342,43354,366936
4747,87025,49543
72152,62342,812966
65190,53165,617558
29747,12342,295494
20886,67722,205571
80380,67722,821688
10127,78481,138301
47468,53797,464878
62658,13291,660625
88291,63608,821392
23101,43038,258478
20886,84494,218527
13608,80380,125298
23101,58228,225776
82911,16139,927500
85127,67722,841597
93987,95886,1058277
30696,31646,308562
18038,61709,178789
35443,90190,373306
77215,53165,732275
94620,72785,850761
64557,41139,573383
55063,16456,496301
45886,93038,447586
56013,84494,642001
29430,41772,329590
45886,40506,677845
66456,81646,816618
95886,43987,885820
65506,20570,691782
18987,5696,177395
38924,49367,375742
5696,70886,57677
22785,13291,221601
53481,50633,522072
77848,40190,1214929
41139,31962,773783
79430,25949,1083907
55696,25316,597385
2848,99051,36814
43354,1266,429847
12342,72468,129437
74367,49367,977799
67405,43038,654304
81329,35759,923806
54430,28481,496772
51899,61709,499946
29430,37975,286209
0,28481,1829
84177,45570,895024
55063,81013,507111
76899,37658,766067
88924,95886,868488
0,26266,3516
7278,21835,65593
77532,18038,704988
19304,72152,178137
48734,1582,437610
11076,1266,102592
63608,65190,564664
85443,30380,1473349
39873,25949,631840
18038,31962,288319
66139,94620,599763
76582,50633,753097
11076,26266,117640
72468,2215,683407
96835,83228,878472
77848,70253,766850
97785,75316,877147
67722,84177,674755
30063,10443,297373
49367,71519,444616
79747,43987,728281
18671,13924,170802
81013,55696,821686
14241,949,132409
76899,68038,694889
40823,43987,371465
72785,1899,678531
20253,93987,198687
46203,58544,416161
45886,26899,413616
77532,95886,740621
72152,25316,672219
15190,16772,140541
6329,30696,75396
87975,9494,786003
24684,5380,221498
88291,87975,815722
78481,96519,1357642
80380,633,735471
80696,45570,773346
81646,49051,735092
62658,48734,556944
13608,55380,125979
75000,59810,704489
77532,50949,731995
53797,2848,509244
93354,98734,958277
316,19937,9195
41456,40190,374514
47152,42722,425367
81013,45570,769224
56013,64241,583964
6962,42722,69681
3797,42405,35915
949,74367,9557
25316,47152,226027
46835,11392,444815
85443,62658,787138
58861,11392,581094
72152,87342,650336
15506,2215,139838
17722,59494,164784
46835,12975,421453
32595,99367,323071
83544,5380,918363
69304,16456,624896
47152,14557,424437
99367,61076,958653
67405,9177,623658
37342,33544,340192
37342,53165,339342
38291,66772,360021
11392,15190,106599
81646,71203,1617496
37975,30380,607027
59177,65190,1173502
39241,90190,620501
21519,66772,348402
4747,27215,77013
20570,47468,198602
3165,7595,30518
66772,48734,607747
46519,89241,532114
19620,53165,201122
53797,7595,577554
56962,47468,602372
40190,16456,415466
30063,27215,345349
63291,21835,887585
73734,69620,670867
13924,98101,163839
7911,93038,81410
78481,99051,777067
66139,63924,611966
27848,36709,263678
90190,31646,974936
66456,75949,805265
34177,4114,412933
99684,47468,1004153
87658,59810,816327
83544,64873,881992
35759,56329,332222
48418,38608,434586
12975,28797,116771
6329,1266,57591
83228,39241,952642
48418,22152,533674
67405,68987,793101
80063,44937,743394
21835,18987,210727
28797,56013,271142
83861,61392,1059834
31329,64557,330922
95570,55380,1148033
90823,67405,969780
82278,61709,784232
77848,6962,778404
86076,75633,832960
10443,83861,101438
83861,5063,1125735
71835,98418,890204
64241,84177,616619
65506,56646,650443
69304,91772,674868
97152,21203,904577
91772,9810,1006136
21835,43354,257166
31329,9177,389067
61392,23101,816442
18038,72152,241675
94937,82595,1147375
90506,34810,931966
5063,69304,55921
92722,949,921897
25633,73101,256806
29747,95570,324248
11392,67722,115159
84810,15190,907582
71203,85127,778361
0,26899,8230
30380,63291,305866
81962,42722,858162
86076,75000,1037057
7911,5063,74986
40506,45570,392405
25949,20886,250292
91772,66139,1043746
93038,43038,968647
86709,10443,868199
76266,46203,778879
33861,25000,320701
77848,63291,757423
24051,70253,238721
61392,89557,1197498
37025,92405,582773
54747,31646,628547
