@relation RGBFilter

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
292,3697,58421891
4580,3424,644608094
1444,530,40911690
1828,1899,107503989
5732,3658,796079378
5860,3228,691280984
740,374,10065450
5284,765,172890603
3044,3150,374171778
4260,3815,576116711
4964,1938,326170088
5540,3267,667735635
5092,2368,368213745
4516,2524,354983588
4068,2446,330377857
420,530,7092684
4836,726,126233561
2660,1977,172378565
676,2642,57307707
3364,2720,294316615
548,3228,54887014
4388,3033,403497549
6180,3580,683182789
676,1195,24665895
1508,3893,182443480
4964,687,102716307
2980,3619,330512895
5476,1469,247747957
1956,3111,191315190
3492,296,31774045
2532,335,28557753
3684,3111,356286000
2724,1938,160182467
1636,3150,156155315
2532,2759,226162418
1828,1351,74169320
4132,2642,350015421
4836,3267,479549861
4772,530,91012677
292,296,2787895
3620,687,94539386
5540,3463,660853147
3940,3815,457793039
3556,2681,328024214
5668,1078,266096984
5220,804,136361106
3940,3580,555336625
2276,3189,234274587
5284,530,85234869
4388,374,51920636
4260,2993,499856508
1252,2016,78315894
228,3854,30341078
1892,2876,201818835
3812,3267,498776657
5796,1860,358405683
4132,3541,462660777
868,3697,97315785
1828,2172,130010606
5156,1273,257865026
548,296,4765867
1700,1273,105990473
2596,2720,239023242
3300,3384,366111684
5988,3306,624090579
4772,3893,619887651
5860,3736,748614858
676,3893,83584251
2916,726,66285817
5604,1312,235918280
1956,3189,197394337
5540,2876,528722781
5156,1899,329115791
2788,3971,379092679
5860,3658,656992223
1700,1156,65397296
2916,1508,139043506
1828,491,29508269
3748,2251,268036943
2724,2133,178381589
4900,3815,585055318
2340,3658,267134545
4132,2446,311154617
2852,647,57799261
1700,3971,212485639
3492,491,53591374
2148,2251,153504769
5796,1742,389388874
164,3189,16763660
3748,3815,452224201
5412,374,62794962
996,726,24164111
292,139,2208580
1252,1977,106485817
2468,2720,224044656
5348,1469,246398132
1572,1038,54282278
292,217,1873503
740,882,18700096
1892,2211,183120931
5092,1390,246415099
2148,2642,429508889
292,1938,85270918
100,3580,13501351
1316,1117,47333206
4580,178,26356058
3428,2055,216246911
4004,1390,177666418
2596,3033,364235398
1700,1899,113496810
3812,1742,222493107
2532,2251,190587723
4324,1781,247715533
2148,1547,110831328
676,843,20500181
1060,843,34819067
3684,2876,350366504
5732,2055,381341867
3812,3345,419188074
2660,608,70389493
1188,647,24930448
548,882,16295188
804,1703,43388594
1764,3541,246341866
3876,2016,244901439
6372,2368,464076348
3428,2446,256570059
3940,1977,245687381
2724,1390,117695546
4388,413,52392756
4452,3463,495764590
6244,2016,397942253
164,1117,9075451
6436,3580,736417645
3812,1586,194950484
676,999,22138817
6308,2485,495996030
1508,569,28046080
1956,1977,124931161
2788,3345,286935510
3428,765,82259130
4260,296,44883855
1316,1351,58272161
3620,3893,449153052
3300,3150,324528754
5988,2563,493670857
4004,1860,225366309
6180,3150,614881203
4836,2915,444266551
1892,100,6916562
6308,1390,332822312
3300,1742,233754240
3812,2055,256754193
3108,178,18917613
3556,1038,114248007
2020,3267,210085277
420,882,10670072
4324,335,48005102
5668,1703,303925793
5860,2290,436907675
4068,1938,248218638
6180,882,195811667
1188,1664,69892101
5476,1312,297441504
2212,2407,186415630
5156,2993,542779129
996,3189,121929773
4516,1234,176371518
5284,2329,433540977
4068,2251,329282263
2852,452,52198088
2404,3541,346566593
1252,1429,58435797
3300,413,45942213
612,1469,43587511
932,2798,89272121
5092,2837,519451340
3172,2642,317529315
1188,3150,154445334
3620,882,111852447
6052,3072,669562004
4900,2954,560558833
2340,2055,169967375
5988,1781,359418112
1444,921,67063029
5732,882,186848557
1572,608,30412165
5284,2681,474121586
5604,3932,804248324
228,3072,49237186
2340,2172,186215398
3428,3424,373458324
2788,2016,235093265
3108,3502,338660148
6372,3580,817123854
1252,2876,123971602
3364,3697,620168494
5988,3736,863071085
1700,1781,102408269
4708,2290,359036208
3812,491,70869536
868,1625,48455226
2404,3267,262338591
5924,2211,426169166
3492,1195,136812056
5732,3150,570006985
5604,1625,289067549
1892,2720,167848464
6372,3345,667562397
356,2563,29035214
3748,3736,432641361
2916,999,90080562
4836,2642,401806998
2468,1938,148210303
2724,1860,164762888
3300,2954,297362434
4068,1977,270757170
3748,3775,472593888
2404,1195,90750315
2148,2837,183578524
3172,804,81122153
292,2251,19343585
1316,1508,60800353
1316,1977,79872907
1700,1938,103468469
5732,3893,682229109
5412,491,81002641
3876,647,80122257
3876,608,82349656
4900,1703,271242089
1124,2993,101462251
1060,2368,78094087
2276,960,68642684
2212,3384,235998912
1252,1078,44771311
1572,1742,98217975
2340,256,21441098
3364,608,63353759
1188,3384,127314695
1124,3971,152009492
4452,1351,188897202
740,3345,76571950
164,3971,18853910
3940,2993,406726871
2980,1469,132140433
164,3384,17970683
2596,2055,165169850
740,1547,32924497
6436,1273,255835329
6116,726,137611355
1444,100,4007659
3684,256,31038936
4388,1117,154447553
1316,3384,196297011
1380,2876,121734817
4708,1117,160288839
2468,687,52729963
3172,530,51178302
3428,2642,272790771
6372,1429,283332563
3364,2485,261968035
6052,2251,428070653
4452,1664,235715715
1892,882,55343302
2276,2915,218305004
4388,3150,428950727
5796,1586,287884058
2980,921,82951599
6244,374,75253082
100,2290,6746527
3108,3854,378703450
2660,2993,258722614
3172,3815,390237799
2084,1586,99765664
2340,999,72952509
5412,3189,547604667
1892,1977,112916800
1892,726,40021416
164,3619,17219621
100,491,2469232
612,1273,25854620
1508,999,46870232
1188,3658,130426091
2020,2563,170186571
1572,178,9062417
5284,2759,468651600
3428,3697,415659467
2788,1781,158321668
5924,1508,285657759
5988,2915,539940489
2852,1390,130768322
4900,1234,187400007
356,2720,32463506
612,3658,69601408
5220,608,101047434
2532,1390,110704476
3684,999,116091507
1508,2172,102907807
420,1586,20240642
5860,2954,538250125
1892,3228,186428311
5732,3502,727059533
1060,3111,107847743
4836,100,13905900
1572,1586,79666498
3044,2055,206882464
4644,3033,448298913
1572,2251,105371475
2148,765,56779752
5028,2016,500645305
804,296,7136132
1828,2211,131417344
164,569,4907375
548,1547,26863513
2532,1351,106029119
5092,452,74524507
6436,2368,467435050
4196,1312,172566437
1124,2211,77659314
4836,999,155082229
1124,3463,120359571
6116,3736,787589491
2916,2329,224247402
2660,1899,156967277
2148,647,43326103
4068,3736,578092763
5732,413,73637343
164,1860,14536709
3812,2642,319055276
1380,1195,47365137
4964,1038,164541803
1892,1899,116342166
5668,804,218547657
164,3893,30172588
4132,2759,391122421
4260,960,140376897
3684,530,59643211
548,2993,51542194
4132,1390,208207663
5348,3971,732934283
4132,2485,339755199
4196,3228,420451725
6372,3775,1197830378
4836,2172,365440825
612,2094,42265169
3620,335,39153786
164,1703,9288976
3492,374,45480186
3044,2524,253953319
6308,1273,270449080
2596,2954,233754168
292,2016,18739308
292,3619,38776634
5092,374,60942714
4772,2368,376872650
5860,2251,406800662
2340,3580,257245819
2212,2016,155176764
1188,3033,119141956
5220,1664,268297833
