@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
16,10,127495
23,11,333942
20,10,265231
17,10,274529
3,10,183229
21,11,326692
0,11,321571
19,9,78938
10,10,147156
28,10,135415
26,11,338629
6,10,170420
26,10,274063
23,11,547321
9,10,180058
5,10,209012
22,10,175421
22,9,146227
12,10,162053
26,10,177458
6,11,322506
11,10,195408
4,10,172886
8,10,164107
22,10,136188
2,9,70138
5,10,142280
15,9,82144
30,10,168953
21,10,162747
24,11,325802
2,11,318596
0,10,142179
14,10,166820
25,10,183290
15,9,131519
24,10,162699
3,9,79206
16,10,149130
25,11,325200
8,9,69471
28,10,124459
19,11,326710
2,10,257623
14,10,220452
15,11,375294
0,10,177633
15,10,133225
29,10,206512
2,10,173207
5,9,90191
19,11,431790
9,11,632525
19,11,342704
2,10,172677
12,10,157384
19,10,145624
15,11,351750
24,10,167580
6,9,92327
30,10,162339
2,11,317946
20,11,369759
10,10,288740
21,10,180346
14,10,135993
26,11,324968
28,10,128345
23,10,159033
8,9,65279
6,9,69061
29,10,221353
13,11,323472
26,10,150990
18,9,66912
26,10,141845
2,10,155275
29,11,328521
15,9,66953
5,11,490847
12,9,187472
18,9,156729
8,9,125308
24,10,163208
27,10,177981
18,10,167254
19,10,251245
1,10,202460
23,11,400211
24,10,172866
30,9,145372
19,10,261169
2,9,144691
17,10,217493
22,9,140801
4,9,121973
29,10,238732
4,10,205740
24,9,134546
29,11,333828
16,9,75656
21,9,104104
28,9,99102
4,11,380773
12,11,327174
14,11,330693
1,10,156524
2,10,151853
8,10,160899
6,10,142068
23,10,151274
3,10,173786
25,10,161554
18,10,161424
9,10,134823
20,11,323100
2,9,111555
4,9,78172
16,9,69452
8,11,352688
17,9,116742
5,10,162789
13,9,73944
18,10,158379
21,10,208071
17,9,126689
26,10,208311
1,10,166950
24,10,178920
18,11,325286
19,10,302032
28,9,73840
11,10,146836
21,9,72608
6,10,150008
8,9,89814
27,9,113280
3,10,146843
0,9,72309
10,9,89763
30,10,174950
18,9,156860
30,11,322886
6,11,330693
22,11,326396
13,10,165050
16,10,160454
15,11,328582
26,10,158077
20,11,726389
27,10,229688
21,11,333996
16,11,320790
10,9,70733
6,10,156775
21,10,213059
15,10,271482
17,10,164804
9,10,153470
16,10,161388
5,11,328983
6,10,162640
8,9,83680
9,10,136394
10,10,151852
15,10,159061
10,10,127570
26,10,200660
19,9,67115
3,11,327497
29,9,65316
11,9,83463
18,11,396311
26,10,179178
26,10,284464
0,10,301591
7,10,151125
8,11,362722
26,10,182882
7,10,198309
20,11,688886
25,9,82416
0,11,319755
27,10,158442
24,10,286136
17,10,172972
2,10,151596
17,9,66844
17,9,161933
1,10,186572
9,10,168019
12,10,156432
17,10,162128
19,10,184163
15,10,258307
1,10,162386
4,11,334445
23,10,155452
3,9,74206
23,10,157933
28,10,170173
2,11,321416
2,11,318598
2,10,130539
3,9,72476
20,10,217437
13,10,161803
28,10,128470
5,10,161556
10,11,344836
11,9,104249
1,11,330163
13,10,155930
13,11,329151
10,10,138568
13,10,175273
15,10,173824
9,11,324790
27,10,169479
5,10,136670
13,11,451246
11,11,460827
13,10,162182
23,9,128381
1,11,325752
11,11,340403
6,11,504296
4,10,160775
25,10,262665
7,9,120094
15,11,320240
22,11,322893
8,10,159359
5,10,139852
11,9,100303
19,10,242582
19,10,168990
21,11,405255
20,11,322388
28,11,338116
26,10,156694
13,10,128757
10,11,324350
21,10,213150
27,9,130993
4,10,167921
0,9,69930
4,11,328974
24,11,327123
29,11,697093
15,10,168514
19,11,368859
4,10,160078
1,10,161440
13,10,161504
20,9,72354
15,10,133679
22,10,153025
0,10,238819
27,10,161501
1,10,161444
17,9,70587
18,11,358055
18,9,185780
11,10,163070
0,10,135110
16,10,141964
8,11,330932
12,9,134978
8,10,177301
14,9,127141
6,10,164273
25,10,130136
24,10,134388
17,11,324445
16,10,178545
17,10,186058
29,11,348088
27,10,160555
3,9,86536
20,10,165709
1,9,124631
29,9,137728
13,10,191657
15,11,330375
25,9,130971
0,9,77717
8,11,326207
10,9,71123
7,11,394031
11,10,295640
15,10,179604
5,10,161234
29,10,164777
22,10,126807
26,10,173508
16,11,325280
16,10,156284
25,10,187997
18,9,111318
8,11,610582
1,10,191457
14,9,127247
2,10,161272
26,10,168775
20,10,158413
11,10,191899
16,10,158809
24,11,333378
13,10,168312
14,9,62641
10,9,100641
16,11,345511
20,10,160942
4,10,146142
2,10,224634
4,10,158456
11,10,164335
3,11,322547
27,9,73557
5,11,321809
13,10,155899
0,9,66643
7,10,140495
24,11,324444
21,9,88139
21,11,327327
27,10,144080
19,10,169522
24,10,163582
9,9,160401
6,9,74287
28,9,70229
8,10,136761
15,9,71196
24,10,151065
27,10,156988
23,9,104490
7,10,225027
6,10,165380
19,11,525224
15,11,347756
10,10,169650
19,9,184759
8,10,177907
5,10,334074
10,11,659389
25,10,160237
11,11,321725
16,10,159237
1,10,181730
9,11,345462
24,10,264719
14,10,254925
29,10,158932
20,9,66799
27,10,133187
26,10,206447
16,10,188491
0,10,175409
27,9,145595
28,11,440788
19,9,81407
17,11,326116
8,10,153537
4,11,329322
20,9,74860
19,10,130340
23,10,240493
9,10,230196
13,10,208024
26,10,169856
7,10,169054
4,11,321491
8,9,196623
17,10,195594
9,10,164694
28,9,64982
15,10,160327
22,9,111453
14,10,165021
2,11,393718
14,11,529877
16,9,77040
24,9,78384
1,11,329072
8,10,164062
10,9,70436
25,9,84675
25,9,156989
4,11,353503
21,10,160594
22,9,117342
10,11,325895
27,10,177269
29,10,137925
24,10,157078
4,10,163197
4,11,353331
15,11,341036
2,9,127995
9,10,267356
13,10,158317
29,10,182059
23,10,156449
25,10,202609
4,9,152637
27,10,165360
19,9,65797
15,11,329162
5,11,348733
22,10,156447
28,10,152166
17,10,152291
22,10,145095
7,9,89939
5,11,375383
1,10,197648
21,10,158747
7,10,163038
9,10,184726
11,10,183998
10,9,70394
