@relation SortArray

@attribute ArraySize numeric
@attribute runtime numeric

@data
1460,101183
3190,245266
5713,507839
8795,732886
5332,1460675
9583,816139
9327,798423
2863,221058
9056,829785
6204,522077
9831,877169
2502,194884
8750,798566
8590,759468
795,53367
5021,411781
2716,209508
550,35066
1981,141662
678,43338
5324,447690
2712,212661
533,30498
3522,276788
8025,1699916
6835,559823
5369,420703
5754,457010
737,45865
9566,815616
2108,146818
2535,186601
1604,115176
2998,212410
3925,294679
8422,695129
3119,221469
740,45848
6110,551492
4674,365380
1440,98848
5367,422637
8822,742422
5102,409649
7125,690315
6718,543198
2076,147849
8619,726030
2186,159303
4563,354752
7300,602658
3166,239126
8294,709480
1581,107482
3906,297233
9750,835051
3544,272617
9561,774299
3917,289054
2330,163112
9564,793562
7322,603012
8492,721157
2713,189769
995,67654
3004,252665
9491,1056689
1542,161506
2037,1238658
6757,518746
3372,253515
5817,955207
4856,434730
5465,455792
8552,4236086
561,61982
730,73517
453,39679
6894,573201
3620,275316
2108,158568
8523,723599
8654,928939
8272,782088
8467,896708
9523,1044948
8416,723957
6782,8741805
5998,515374
6837,574997
1211,82497
9071,827637
7566,645616
277,12774
911,59688
3083,239006
5201,419857
9529,781410
8257,706615
9642,808472
4949,401331
1341,95531
2150,161329
1705,203497
2228,159865
7480,823732
2551,184907
9469,1011423
6451,543208
2238,166423
3426,261667
8920,849630
2440,177219
2386,174776
4281,334677
4616,372025
5435,443746
7111,583324
7010,566390
9272,804781
2793,210821
2613,197514
2686,205134
3445,330173
5464,449593
4252,326425
2324,176664
5989,476588
5617,385138
9741,753364
2262,170559
5549,462211
5775,463360
1237,84037
9372,820346
8168,918389
299,19066
9407,1708660
4560,362518
5546,458581
115,5928
9518,835774
703,45056
3914,305047
8487,727149
740,49080
3593,404184
6066,507301
9086,805738
7087,602068
5738,480587
2240,167205
7444,636350
5963,504558
5617,619184
53,3055
9329,876893
9806,830661
2334,163622
9618,849721
6718,687865
2397,140128
8160,604295
9208,628389
1287,78386
8324,569718
4048,296410
5438,399157
2498,148283
1033,54426
4275,267782
3242,194436
2735,162809
2894,181198
2430,177063
7665,658979
5954,496457
9880,874138
5309,447422
4907,411022
4226,336503
9785,859164
9869,853472
8272,718752
2321,173306
8459,724172
5239,354392
6657,497561
1470,80290
3993,246121
1814,102373
3926,240426
2778,166298
6016,393309
1746,97792
9539,664839
761,38316
4728,303068
8607,593206
7073,516486
83,2659
7413,500029
4353,275875
1486,81133
9196,805511
8835,614208
6772,462741
4091,254503
8928,616650
6490,429217
8136,735971
5555,457096
1495,115938
4590,393453
5097,388874
3313,242954
4154,304303
6641,481116
5246,523936
4518,378572
7765,693225
3356,243130
7297,518908
4459,353903
5971,453136
4601,415404
5716,431871
5753,397083
3482,215386
4031,253271
6570,525409
1210,82125
5402,369793
4042,262041
514,26246
7076,471658
3730,229425
8852,619325
9876,681473
8639,605030
913,48001
4714,323043
3727,228834
2761,164404
8065,691250
3059,238066
3549,262105
6402,521222
406,25364
9275,739882
6915,607008
4866,418277
6460,500265
5205,419056
6663,560110
2847,227612
3236,243354
2675,163961
2296,137892
2268,136454
7846,542212
9993,700532
2555,192339
3159,227887
628,40461
3264,250270
5115,612917
4908,363796
3326,232086
4721,367672
8327,684456
8580,688801
2468,180820
1728,121067
7449,600812
8272,638737
492,27972
5782,568702
917,53126
2647,157815
9961,817638
3423,256865
5595,786905
9637,860815
5966,483361
1452,78942
9598,864038
2178,131148
8096,558975
2574,153749
5721,384592
7333,489856
53,2213
2577,153256
1069,57669
4410,310973
340,21433
1460,136349
971,61189
148,6198
4196,306824
2596,180724
8448,866589
6718,544740
3285,199450
7078,513526
5159,505499
5179,326250
7632,518032
7301,684275
5584,390326
1581,307206
6565,441339
7919,608356
6647,517265
9640,809352
2613,186578
4340,347050
2886,207515
7512,597958
1226,82242
1482,105755
6461,523956
1696,116643
9798,3463460
8963,1379220
6808,602495
7752,634585
6936,556205
269,13199
1319,87098
2471,174532
4956,412510
5788,474332
2519,471122
2479,252783
6091,507649
400,24903
8471,715551
2335,141190
3717,245866
6926,606829
7297,616711
2801,206069
7971,663908
6624,484863
8722,744806
8029,604346
4300,277353
4417,358239
1664,118335
2640,191227
1843,117734
8994,716428
5065,392237
7097,551273
4708,342325
5126,566516
8293,626969
9703,710967
3133,205080
7625,540243
8069,593525
9034,653267
3430,500919
7015,495407
1734,100176
9741,697677
203,7945
7248,493272
4268,274091
171,6504
9281,658307
9482,674568
8834,761032
3215,237039
3476,271381
9045,643053
7642,651102
2093,165609
1158,95933
8114,542043
4597,564973
9903,994639
7102,698700
2579,160270
630,30528
2130,122607
9967,1097605
9518,801999
6115,473143
7736,639587
8311,686695
8358,699217
5716,424000
885,55459
2243,158920
2192,155888
4850,363141
7040,2565654
6221,760629
5408,441631
8734,737972
5741,442695
3134,215286
6109,518864
6921,467972
5630,367519
5620,361482
8261,559691
6956,577350
9162,829052
5796,508016
9894,851797
107,4885
9386,1066653
8161,687917
1341,83172
7314,502249
3816,401678
4106,329247
6230,533168
871,61097
3186,240149
8356,698253
9315,824894
4693,373603
8981,798835
6695,568129
6308,560210
244,13861
8506,745445
3380,269264
8232,755999
3909,310477
8671,754612
8661,868759
461,30212
8370,1494097
3143,245917
2085,153781
2551,195133
5603,477834
5876,483897
464,27915
3987,322874
2483,191533
7367,639737
8208,710338
5683,479430
1913,224129
62,2886
2471,191173
6600,569787
6919,654492
1595,111329
5673,473549
3836,288000
1982,137832
1698,113090
6125,490692
5822,485530
1183,83528
9365,832657
9287,3265449
2295,198768
9053,1708343
6274,495033
5266,554901
1513,100051
882,51519
9573,775411
1591,102936
9545,809993
8120,584734
1198,69720
9108,749427
5248,350081
6130,446508
9428,670841
3839,247706
5377,361233
4764,429679
8492,581855
4283,268504
1617,89891
5514,361621
6286,407632
2970,179422
6780,681249
4563,328752
411,19373
3225,234071
1541,86644
1570,88310
5797,374148
8363,567969
5081,345304
7455,544790
9191,629672
543,26545
7420,593363
5925,530618
159,8692
9261,813336
3555,270183
1165,76913
340,19594
7742,539350
8001,635191
9093,653450
3096,192327
7645,523736
3516,221582
6583,916388
4964,405289
1807,133478
6834,583571
4116,337449
4519,355665
6348,527225
8625,755403
6033,590310
2971,175709
2864,165313
3804,236134
477,22190
3707,228446
9304,657055
1827,101071
8575,591086
9093,617753
7110,507845
6192,407620
2926,173179
3885,335233
9775,774439
6856,791504
6333,413334
3032,182633
7206,474677
