@relation ScaleImage

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute ScaleFactor numeric
@attribute runtime numeric

@data
3300,278,2.077273,75860823
1264,2588,1.022727,63788448
682,3299,2.077273,190855094
3591,2766,2.736364,1470346280
3882,811,1.154545,84854354
4173,633,1.418182,101628346
4755,2055,2.736364,1411150740
100,3477,1.813636,24627397
5336,2766,1.681818,814770826
973,1166,2.209091,106456580
3009,989,2.868182,475320619
2718,2944,0.1,1710959
3591,1344,2.340909,519405812
100,455,2.472727,5105550
3882,989,0.363636,16218197
3882,2055,2.736364,1196655824
3300,3477,2.472727,1364105942
2427,1522,2.209091,364646981
391,989,2.077273,33621213
100,3477,0.759091,3935357
4755,633,1.154545,80199421
3300,2055,1.022727,139067032
5918,1877,1.154545,292772228
5045,3832,0.495455,93186627
682,278,2.868182,30302923
5627,278,1.55,75361539
4173,2055,1.55,400984861
391,2055,1.813636,50748919
1264,3832,1.286364,152241586
3009,1522,0.1,1097642
2136,811,2.077273,153805124
973,811,0.759091,8471860
4464,1522,0.890909,104724755
1264,3832,2.736364,727569450
5336,3832,0.627273,163011563
1845,3832,1.55,329637693
100,811,2.604545,10198700
2718,100,2.604545,36246921
2136,3121,1.55,304802539
2427,1522,1.154545,95200128
5045,2233,1.945455,851429578
973,2588,2.209091,244516551
2718,3121,2.472727,1011060158
2427,989,2.472727,287215458
973,1877,1.813636,113062736
2718,1700,1.154545,126084489
3591,1344,2.868182,782865662
3882,633,1.154545,63949637
4173,3121,0.627273,103052988
973,2766,0.495455,14470928
3591,1522,2.868182,901077778
3882,2055,1.418182,329783820
1845,3121,2.209091,541750256
100,3655,0.363636,1118541
2718,3121,2.209091,825569395
3882,2944,0.363636,28426318
1264,2944,2.472727,448062814
2718,3832,1.945455,769998881
2718,1344,0.231818,3912239
4173,1700,1.55,337209319
4755,2233,1.154545,267991220
4755,1522,1.418182,294227205
5045,811,2.209091,382537035
100,2588,0.1,191022
1845,2055,0.627273,29979367
2427,1344,2.604545,430338740
2718,3832,2.604545,1383335364
4173,811,0.495455,15062087
973,3299,1.154545,84537559
2136,278,1.813636,36402659
1555,2588,1.681818,220947957
2427,100,1.55,10572474
973,100,1.022727,1853095
5627,1877,1.154545,278511486
973,3121,2.472727,356499098
2427,989,2.209091,225451431
3591,989,1.286364,112837876
1264,3832,1.945455,357450218
3009,1522,1.813636,291231715
3882,1700,0.363636,17421815
3591,1877,0.890909,103894444
1264,278,0.759091,5033385
2718,3121,0.495455,37513488
2427,3299,2.604545,1069148657
682,1166,0.231818,1700337
5336,1700,0.890909,140141726
4464,3832,2.736364,2528133366
3009,2766,2.604545,1142588262
2136,1877,2.604545,663362589
5336,278,1.945455,108199523
391,2410,2.209091,136681742
