@relation Fibonacci

@attribute FibonacciNumber numeric
@attribute ComputationMode numeric
@attribute runtime numeric

@data
25,0,865
24,0,159
21,0,129
38,1,249
38,0,205
28,1,280
34,1,120
12,0,105
22,1,322
34,0,212
8,1,425
39,1,138
35,0,204
38,0,217
12,1,250
22,1,131
21,1,121
28,0,170
18,2,16041
7,1,222
18,0,134
9,1,125
32,1,211
31,2,8673587
39,1,2079
23,0,243
9,1,165
5,1,183
13,0,141
23,2,176406
13,1,300
8,2,236
33,0,199
24,2,285234
21,1,137
6,1,135
1,1,90
31,0,193
12,1,255
3,1,351
9,0,107
10,2,480
5,0,86
17,0,138
34,2,40153986
20,1,4150
36,1,427
3,0,343
39,0,288
8,1,409
27,1,280
34,0,205
5,2,313
31,1,225
37,1,134
2,2,107
16,0,119
34,1,195
8,1,230
17,2,9977
20,1,129
21,1,134
34,1,117
40,0,241
14,1,284
18,0,136
25,1,184
32,2,13922907
30,1,2052
22,0,302
23,0,139
7,0,76
2,1,436
11,2,761
38,1,247
10,1,248
28,2,2051504
34,1,1400
27,1,311
5,0,176
33,1,214
2,1,139
2,1,121
34,2,38325380
7,0,446
28,2,1954235
19,1,12346
36,2,104218780
2,1,28550
12,1,1714
32,2,15020381
31,2,11053975
20,1,6199
2,2,483
21,2,73167
12,0,633
31,1,1056
11,1,1060
4,2,254
31,1,306
24,1,379
14,2,2629
21,1,249
37,1,481
36,2,103683484
4,1,4064
24,1,355
20,1,188
32,1,407
5,1,125
27,1,224
30,2,5951607
2,1,3525
4,0,438
29,1,496
9,1,309
4,2,463
31,2,8954294
39,0,525
4,2,511
24,2,285584
31,2,9496653
38,1,4280
4,2,265
19,1,446
27,0,453
31,1,287
27,1,227
23,0,194
25,1,301
13,1,306
11,2,768
37,1,260
22,2,117361
28,1,194
17,0,140
10,1,307
4,2,86
23,1,311
27,0,181
10,1,136
8,1,256
7,1,207
7,2,231
7,0,90
17,0,140
13,1,135
26,1,139
4,1,248
26,0,190
20,0,150
34,1,194
7,1,144
36,1,204
7,2,170
26,1,127
2,1,402
1,1,84
7,0,102
39,0,246
29,1,270
8,2,292
27,1,136
4,1,129
36,2,101772646
25,1,4355
35,1,420
30,1,174
6,1,392
35,2,73409118
10,0,409
35,2,67209983
10,0,1650
6,0,111
8,1,8350
37,2,179899320
14,2,2585
6,1,4364
21,0,436
23,0,150
35,2,65760419
36,1,4329
14,1,441
34,1,186
35,1,122
18,2,16169
2,1,438
34,1,129
12,1,271
28,0,438
2,0,83
32,0,201
31,0,181
21,1,306
19,2,25871
6,2,169
19,1,266
17,0,127
25,1,268
35,1,145
3,1,195
22,2,109075
25,2,461510
17,2,9905
25,2,461458
29,1,260
26,1,121
15,2,3851
37,0,229
11,1,320
9,1,187
26,1,123
3,0,85
17,1,196
3,1,121
1,1,87
6,2,155
18,2,15979
10,1,342
16,1,185
3,1,121
9,1,117
5,1,181
21,1,119
6,0,109
29,2,3213213
29,1,645
30,0,209
8,2,313
7,2,194
14,0,128
23,0,158
11,2,687
8,1,382
39,1,254
37,1,134
23,0,158
4,1,131
6,0,90
22,2,109032
28,0,184
32,1,326
8,1,138
17,0,123
26,2,746705
4,0,80
38,2,273379169
40,2,708743154
29,1,3820
36,2,98156551
32,0,925
34,1,4326
4,0,83
5,1,382
5,2,238
11,2,637
6,2,137
15,2,3845
