ImageWidth,ImageHeight,WantedImageWidth,WantedImageHeight,runtime
4580,1273,1380,2446,4776
3940,2055,1380,100,4611
5860,2055,5220,882,4996
5860,491,2660,882,5487
1380,3228,4580,3228,5233
1380,1664,5220,882,5188
4580,3228,100,2446,5094
2660,2446,740,1273,4364
100,882,5860,1664,4253
1380,2837,5860,882,4598
5860,2837,4580,1664,4925
1380,2446,5860,1664,4866
100,3619,4580,1273,6340
2020,100,5860,3228,4106
4580,3619,740,3228,4688
2660,2055,5220,2837,4935
3300,100,2660,882,4583
3300,1273,100,3228,5164
1380,2446,5220,491,5419
2660,3228,1380,100,5614
5220,100,2020,3228,4334
5860,1664,2660,491,4868
5860,1664,740,3619,5001
3300,1664,2020,1664,5228
5860,1664,3300,2055,5143
2660,2446,3300,1273,6007
740,1273,2660,2446,5048
2020,3619,5860,3228,5508
3300,3619,5220,2055,5258
5220,882,5220,2055,5264
3940,1273,3940,2837,7096
1380,1664,4580,3619,4922
1380,1664,1380,3228,5389
3940,1664,5220,3619,5414
740,1664,2020,2446,6852
740,1273,2660,491,8163
5860,100,100,491,5323
100,3619,5860,1273,7553
5860,100,5860,3228,5045
100,882,5860,882,3393
100,3228,5220,2837,4244
100,2055,1380,1273,7010
740,1664,100,882,5090
3940,2446,740,100,5181
740,100,2020,1273,4023
3300,100,5860,2837,5743
4580,3228,1380,882,5169
4580,882,3300,882,5336
4580,2446,4580,1273,5360
740,2837,740,491,5371
3300,1664,5860,100,4809
2020,2446,5860,1664,4791
3300,882,2020,882,4871
5220,1273,3940,100,5901
3940,2837,100,3228,5086
5860,491,740,2055,5291
2660,3228,5860,491,62021
1380,882,3300,882,29878
3940,3228,3940,882,31310
3300,2837,3940,1664,4372
740,2837,4580,2446,3737
740,1664,3300,2837,3672
740,1664,4580,491,4255
2020,1273,2660,882,4038
3300,2446,1380,882,4330
100,882,3940,3228,4301
3940,1664,4580,491,4334
3940,1664,2660,3619,4058
3940,2446,1380,1273,3706
2660,100,2660,1664,4077
3300,882,1380,2055,3824
3300,1273,2020,491,4411
740,2446,1380,1273,3769
3940,1664,100,491,5009
1380,2837,100,1664,4044
5220,100,4580,3228,3421
3300,2837,3940,882,4155
1380,100,1380,1273,3521
5860,2055,2020,2055,4539
740,882,2020,1664,4327
100,100,2660,1664,3534
4580,2055,2020,2837,5053
5220,100,100,3228,4235
5220,2837,2660,3619,4558
3940,3619,100,2446,4234
3300,2446,100,3619,3893
5860,100,4580,1664,3756
5860,2055,2020,2446,4237
2660,2055,5220,882,4036
1380,491,2020,1664,3737
740,3228,740,882,4090
4580,1273,100,491,3912
2020,3228,4580,3619,4339
2020,2837,3940,2446,3947
3940,2055,5220,3228,5989
100,100,5220,1273,3189
3300,1664,5220,100,4384
3940,491,5220,1664,4257
4580,3228,2020,3619,4760
2660,882,4580,100,4517
5860,1273,5220,3228,4756
740,2055,3300,2055,3846
100,2446,100,3619,3504
5860,491,5220,3228,4133
2020,2055,2020,100,4464
2660,491,5220,882,4420
4580,1664,5220,2055,4176
2660,1664,4580,2837,3946
740,491,2660,1664,4160
100,3228,3300,3228,3748
5220,2446,4580,3228,5461
5860,3228,2660,491,4151
740,2055,5220,3619,4245
100,1664,4580,1664,4581
2660,2446,100,2055,4118
1380,2055,3940,3619,4516
1380,2446,2660,1273,3744
5860,2837,3300,2446,4375
5220,882,2660,2837,4127
1380,1664,5860,2055,4838
3940,3619,4580,2446,4432
100,100,5220,1664,3492
100,1273,5860,2837,4606
3300,3228,5220,491,4559
5220,1273,740,2446,3905
3940,2055,2020,2055,4496
3300,2446,5860,2446,3802
5220,882,2660,1273,3846
5860,882,4580,2055,4521
5220,2837,3940,491,3929
3940,2837,100,100,4065
2020,3228,1380,1664,4404
100,882,2020,882,3235
1380,2055,2020,2837,4034
3300,491,3300,491,4088
4580,3619,2020,2837,4109
4580,2446,2660,3619,4189
1380,491,5220,2446,4105
5860,1273,740,491,3983
2020,491,5220,100,5563
4580,2837,5860,2446,3909
100,2055,5860,3619,3345
100,2446,740,491,3873
2020,2837,5220,491,4084
100,2837,2020,2837,3874
5220,1273,2660,2837,3981
2660,1273,3300,2055,4088
100,1273,3940,1273,3453
1380,491,2660,3619,3530
740,2055,100,2446,4135
3300,2446,740,2837,3707
1380,491,4580,2446,4174
4580,3228,4580,3228,3765
100,3619,4580,100,4088
1380,2055,2020,1664,4627
2660,100,3940,1273,4400
740,1664,5860,2055,3864
2020,491,100,3619,3782
2020,491,4580,882,5884
