n,m,runtime
1,3,89
2,2,182
2,0,88
1,1,123
2,1,124
2,3,242
2,2,161
2,2,167
1,1,95
3,0,130
2,1,109
3,2,1567
1,2,89
1,2,127
1,2,110
1,2,75
2,2,149
2,2,155
2,2,104
1,3,88
2,3,172
3,1,378
3,1,436
2,2,217
1,2,89
2,2,159
2,1,107
2,2,125
1,0,84
0,2,67
1,2,82
2,0,84
2,1,107
2,1,197
2,0,90
2,1,111
1,2,89
2,3,211
3,1,433
2,3,191
2,2,124
1,0,81
2,2,143
3,3,7490
3,3,8152
0,1,71
1,0,80
1,2,91
3,1,332
2,3,217
3,0,146
1,2,89
1,2,81
1,1,144
3,1,490
1,2,89
2,3,225
0,1,68
2,0,97
0,2,74
2,1,96
3,0,132
3,3,7303
0,1,114
1,3,94
2,3,203
2,3,183
2,2,151
1,1,85
2,1,79
2,2,165
3,1,363
2,2,215
3,1,463
3,3,7557
1,3,91
1,2,75
2,1,121
1,3,90
0,1,79
1,2,102
1,0,82
2,2,169
2,1,162
2,0,104
1,1,104
2,0,96
2,1,116
2,3,222
0,3,73
1,2,102
0,3,72
3,1,398
3,1,401
1,0,78
1,1,100
1,2,105
3,1,443
0,3,80
1,0,72
0,1,71
2,1,127
2,2,188
2,0,129
1,2,90
3,3,7560
1,2,78
1,1,98
2,2,181
0,0,79
2,1,105
0,0,68
3,3,7917
1,1,136
3,2,1531
2,1,126
2,0,92
1,2,84
2,2,175
1,0,84
1,3,106
1,2,90
0,0,86
1,2,145
3,1,426
2,2,156
2,3,223
2,2,152
3,1,400
2,0,91
2,2,159
2,2,149
2,2,157
2,3,317
1,3,141
0,0,77
1,2,84
3,1,450
2,3,227
3,3,7630
1,1,97
0,1,66
1,1,91
0,2,153
3,1,476
0,3,69
1,3,116
2,2,175
3,1,452
3,1,427
2,3,225
1,1,94
1,2,89
3,3,8489
1,0,93
0,1,81
1,1,104
1,1,84
0,2,71
2,1,127
1,2,96
1,3,116
2,3,227
1,0,121
1,1,106
2,1,140
0,1,88
2,2,180
3,1,450
2,1,111
3,1,417
1,3,103
0,1,74
3,2,1874
0,1,76
2,1,127
0,2,70
0,1,60
2,3,234
1,3,110
2,2,176
1,1,87
1,2,90
1,1,128
1,0,69
3,1,421
0,1,68
3,1,426
1,1,78
1,0,81
2,2,193
0,1,63
2,2,166
1,2,206
0,3,72
2,1,148
1,1,85
2,1,121
1,2,87
1,2,87
1,0,85
2,2,164
3,2,1657
1,0,121
1,3,90
2,1,124
2,1,115
0,1,82
1,1,85
3,1,455
3,2,1674
2,1,128
2,3,220
1,1,138
1,2,92
2,3,201
3,0,148
1,0,76
3,0,130
3,1,448
2,1,127
2,1,105
2,1,113
2,1,160
0,3,85
3,2,1774
1,1,85
0,3,60
1,2,92
3,1,388
2,3,230
1,2,83
2,0,100
1,1,135
1,0,70
1,2,69
3,2,1348
1,2,92
0,1,72
1,2,95
2,2,142
0,2,60
3,1,428
2,1,171
0,2,77
2,0,95
0,2,73
0,0,55
3,2,1496
1,1,99
1,2,71
1,2,57
1,3,84
2,1,146
2,1,103
2,1,130
1,2,76
1,2,71
1,1,98
1,1,80
3,1,429
1,0,72
0,1,76
0,0,131
1,1,88
0,1,60
2,3,226
2,3,214
1,3,100
3,1,365
2,2,147
3,3,7738
0,3,65
1,3,186
1,2,75
0,0,75
1,1,99
0,2,65
3,2,1686
1,0,70
1,1,79
2,0,95
2,2,191
0,1,117
2,0,93
2,1,130
1,3,83
1,1,81
2,2,131
1,2,58
1,0,66
0,0,68
1,0,68
1,2,140
1,0,61
2,0,79
3,1,437
2,0,68
2,0,67
2,1,106
3,0,113
0,1,73
2,1,124
3,1,430
0,0,68
2,0,87
1,1,94
3,2,1486
0,2,57
1,3,107
3,1,305
2,2,176
1,0,68
2,0,150
0,1,67
2,2,151
3,0,107
2,1,95
0,3,59
1,1,95
0,2,66
1,1,70
0,0,59
1,3,155
1,2,71
1,2,56
3,3,7423
2,0,103
2,3,223
2,3,167
0,3,65
0,2,64
2,1,111
3,2,1139
2,1,88
1,2,75
2,1,80
0,2,61
2,0,71
3,2,1077
0,1,53
1,1,83
2,1,81
1,1,108
3,2,1061
3,1,262
2,3,145
3,0,92
0,3,60
2,2,114
2,1,81
3,1,270
2,2,104
0,1,143
0,3,53
2,1,96
2,2,88
1,2,68
2,3,136
1,3,97
1,1,74
1,1,67
3,1,251
1,0,93
1,1,71
2,0,84
0,3,61
3,1,246
0,0,51
1,3,82
2,2,112
3,2,1036
3,1,264
2,1,126
3,1,258
1,1,64
1,1,57
3,2,1066
1,1,57
1,1,60
0,0,60
1,2,72
2,3,147
0,2,98
3,0,101
0,1,54
0,1,50
2,2,110
1,2,60
3,2,1041
0,0,52
2,3,140
3,0,83
1,0,138
2,1,106
2,1,79
