ArraySize,Key,runtime
38608,57278,290
62025,50000,1316
42722,36076,188
72152,75316,1340
93671,61392,2370
23734,50633,880
60759,61392,794
40190,37342,1119
69620,80380,1043
35759,48734,514
8228,36076,550
43671,1899,684
40823,26899,134
25949,81962,122
57278,44620,1478
45570,9177,198
46519,63924,1046
949,56646,131
24367,72468,353
84810,25949,2083
60443,9494,2126
34177,82911,286
9810,15190,175
34494,31646,916
65823,62975,804
56013,949,543
50316,75949,221
23418,11076,1210
81329,24051,760
66456,44620,497
24051,30380,133
89873,11709,183
42089,67405,1009
72468,13924,221
93671,79430,1013
69937,87342,1748
13924,34494,977
14873,81962,235
60127,84177,1480
40823,65506,287
41456,64557,220
17089,49684,131
40190,82278,1103
57911,90190,202
4114,1899,101
633,11076,94
52848,81962,2038
14873,9494,275
11709,45570,315
60443,15506,1090
40823,2848,119
98418,44304,565
89873,56646,262
64557,26582,408
949,949,94
43038,32911,133
39873,79747,530
76899,74684,485
94937,84177,428
91456,42722,187
71203,43038,790
67405,54114,267
33544,6646,751
44937,82278,304
97152,63608,1783
3165,65823,204
74367,75949,557
22468,76266,120
62025,2215,1151
63291,18671,682
20886,93987,930
67722,29430,306
39557,25000,192
68354,61709,150
68038,43354,175
66456,93671,689
7595,78797,208
37025,42405,109
66772,87342,496
62025,40506,207
24367,32911,121
71519,76266,211
25000,60759,160
8228,43987,112
91772,41772,1321
93354,75000,307
4114,89241,164
38608,29747,1767
77215,36709,663
83544,0,1315
0,13924,124
29430,40190,126
9494,8544,687
25316,27215,142
90823,16772,168
86709,40506,194
78481,28481,3127
82595,93987,2167
9494,25316,341
97152,9810,2753
24051,21519,9588
69937,99684,21077
76582,75949,2591
16772,76266,332
26899,96519,641
75633,64241,6206
92722,17089,3264
68354,19304,1562
29430,25633,508
10443,64873,440
51899,79114,3433
96203,34494,2010
61076,80696,1706
0,9810,192
30696,52532,1270
4430,50316,546
59810,64557,646
97785,13924,1919
34177,96519,489
89557,45253,1304
11709,67722,180
66139,27215,1407
91456,42405,1926
44937,38924,245
17722,7911,2414
62025,9810,3060
90823,86392,3346
31329,62025,1452
8228,97468,376
93671,80696,1425
16456,82278,1039
45886,26582,692
19937,24684,290
89557,61709,217
73418,98101,492
94304,37025,224
1899,2215,94
62025,25000,539
50316,19937,588
59810,8861,1681
44304,13608,1878
37025,78165,1362
29430,96203,1301
80063,42405,2008
39873,46519,1971
13291,32911,245
633,34494,173
18987,53797,694
53481,68671,2269
55696,49051,342
97468,21519,2354
60759,8228,2498
92089,77532,3651
46203,50633,308
73734,95886,183
21835,77848,344
45253,75949,1382
71835,71835,1521
29747,36392,993
80696,61076,1417
17405,77215,175
25633,21519,1666
21519,13924,880
75000,1266,1895
19620,82278,340
14241,31962,565
72152,62975,1107
31962,35759,1213
46835,6013,541
77848,51266,1730
99684,89873,2483
